acknowledge	vt. 承认, 告知收悉, 答谢, 报偿 [经] 承认, 答谢, 收到的通知
acquaint	vt. 使认识, 介绍
acquire	vt. 获得, 学到 [电] 目标锁定
acquisition	n. 获得, 获得物 [经] 收购, 招揽, 取得
action	n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼 vt. 对...起诉 [计] 方式
actions	n. 动作；行动（action的复数）
activate	vt. 使活动, 使激活, 正式建成 vi. 有活力
activities	n. （activity复数形式）活动；活动区；活动性
activity	n. 活动, 行动, 活跃, 活力 [计] 活动
actor	n. 男演员, 行动者 [医] 作用物, 反应物
acute	a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的 [医] 急性的; 尖锐的
adapt	vt. 使适应, 改编 vi. 适应
addict	vt. 使沉溺, 使上瘾 n. 入迷的人, 上瘾者
addition	n. 加法, 增加的人(或物) [计] 加法
additional	a. 附加的, 另外的, 额外的 [机] 加添的, 附加的
address	n. 住址, 演说, 举止, 灵巧, 求爱 vt. 发表(演说或讲话), 对付, 写地址 [计] 地址, 寻址
adept	a. 熟练的, 老练的, 巧妙的 n. 能手, 内行
adequate	a. 适当的, 足够的 [法] 胜任的, 适当的, 充分的
adhere	vi. 依附, 粘着, 坚持, 追随, 拥护 vt. 使粘附
adjacent	a. 毗连的, 邻近的, 连接的 [机] 相邻的, 邻位的, 交界的
adjoin	v. 邻接, 毗连
adjust	vt. 调整, 使适应于, 校准 vi. 适应于, 被调节, 相互熟悉而适应
administer	vt. 管理, 料理, 执行 vi. 执行遗产管理人的职责, 给予帮助
administration	n. 行政, 管理, 政府机关 [化] 给药
administrator	n. 管理人, 行政官 [经] 遗产管理人员
admission	n. 准许进入, 入场费, 录用, 承认 [经] 加入, 入股
adolescence	n. 青春期 [医] 青年期, 青春期
adopt	vt. 采用, 正式通过, 收养, 接受 [医] 采取
adore	vt. 崇拜, 爱慕, 喜爱 vi. 崇拜, 爱慕
adult	n. 成人, 成虫 a. 成年的, 成熟的
adults	n. 成年人（adult的复数形式）
advanced	a. 在前的, 高级的, 先进的, 年老的 [法] 预付的, 预支的, 垫付的
advantages	n. 优势；特点；有利；[经] 利益（advantage的复数） v. 促进（advantage的三单形式）；有利于
advent	n. 来到, 来临
adverse	a. 不利的, 敌对的, 相反的, 逆的 [法] 相反的, 敌对的, 逆的
advertise	vt. 做广告, 通知, 公布 vi. 做广告
advertisement	n. 广告, 启事, 广告宣传 [法] 广告, 公告, 告示
advertisements	n. [经] 广告（advertisement的复数）；宣传
advertising	n. 广告业, 广告 a. 广告的 [计] 发广告
advice	n. 忠告, 劝告, 意见, 报道, 通知 [经] 通知书, 通知, 建议
advocate	n. 提倡者, 拥护者 vt. 主张, 提倡
aerial	a. 空中的, 航空的, 空气的, 空想的 n. 天线
aesthetic	a. 美学的, 审美的, 有美感的
affairs	n. 事务, 事宜；风流韵事
affect	vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于 n. 自觉感情
affection	n. 影响, 病, 喜爱, 情感, 倾向 [医] 疾患, 病变, 病; 感情
affiliate	vt. 使紧密联系, 使附属, 接纳, 收养 vi. 发生联系, 参加
affirm	v. 断言, 确认
affix	vt. 使附于, 署名, 粘贴, 盖印于 n. 附加物, 词缀
afflict	vt. 使苦恼, 折磨
afford	vt. 买得起, 足以, 给予
Africa	n. 非洲
African	n. 非洲人 a. 非洲的, 非洲人的
age	n. 年龄, 老年, 成年, 寿命, 时代, 时期 v. 变老, 成熟
agencies	n. 代理；代理处（agency的复数）
agency	n. 代理机构, 经销商, 中介 [化] 办事处
agenda	pl. 议程, 日常工作事项 [计] 待议事件
aggravate	vt. 使恶化, 使更严重, 加重
aggregate	n. 合计, 总计, 聚集体 a. 合计的, 聚集的 v. 聚集, 集合, 合计达 [计] 聚合体; 聚集
aggressive	a. 侵略的, 挑畔的, 进取的 [法] 侵略的, 爱挑衅的, 行为过火的
agitation	n. 激动, 焦虑, 煽动, 搅动, 摇动 [化] 搅拌; 搅拌作用
agony	n. 极大的痛苦, 挣扎 [医] 濒死苦闷; 剧痛
agreeable	a. 令人愉快的, 同意的 [医] 佳适的
agreement	n. 同意, 合约, 协议 [经] 契约, 协议, 协定
agriculture	n. 农业 [机] 农业, 农学
AIDS	n. 爱滋病(获得性免疫缺陷综合征) [计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统 美国决策学学会, 信息自动显示系统, 自动综合调试系统
aim	n. 目标, 瞄准, 击中目标的能力 vi. 对准目标, 致力, 打算 vt. 瞄准 [计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块 应用接口模块, 医学人工智能, 相联索引法, 异步接口模块 自动化信息管理, 自动化综合制造, 自动化库存管理
air	n. 空气, 旋律, 态度 vt. 晾, 使通风, 夸耀
airport	n. 飞机场 [机] 航空站, 机场
aisle	n. 走廊, 侧廊, 过道 [机] 走道
alarm	n. 惊恐, 警报, 警钟 vt. 使惊恐, 警告 [计] 报警信号
Alaska	n. 阿拉斯加州
album	n. 粘贴簿, 唱片套 [医] 白色物
alien	n. 外国人, 外侨 a. 外国的, 相异的
alienate	vt. 使疏远, 离间, 转让 [法] 转让, 让与, 疏远
all	a. 所有的, 全部的, 一切的 adv. 全部, 全然 pron. 全部 n. 全部
allege	vt. 宣称, 主张, 提出, 断言 [法] 断言, 指称, 指证
allegiance	n. 忠贞, 效忠
allergic	a. 对...过敏的, 极反感的 [医] 变应性的
allergy	n. 变应性, 反感, 厌恶 [化] 变态反应; 变应性
alleviate	vt. 减轻, 使缓和
alley	n. 小路, 巷
alliance	n. 联盟, 联合 [法] 同盟, 联盟, 联姻
allocate	vt. 分派, 分配 [计] 分配
allot	vt. 分配, 分摊指定 [经] (按股或按规定)分配, 配(拨)给, 规(派)定
allowance	n. 津贴, 零用钱, 限额, 折扣, 允许 vt. 定量供应
alloy	n. 合金 vt. 将...铸成合金, 减低成色 vi. 合铸
ally	n. 同盟者, 同盟国, 助手 vt. 使联盟, 使联合, 使有关系 vi. 结盟
alone	a. 孤独的, 单独的, 独自的 adv. 独自地
alongside	adv. 在旁边, 靠拢着 prep. 在...旁边, 与...在一起
alphabetical	a. 依字母顺序的, 字母的
alter	v. 改变
alternate	a. 交替的, 轮流的, 间隔的 v. 轮流, (使)交替
alternative	n. 两者择一, 供替代的选择 a. 两者择一的, 供选择的 [计] 选择对象
altitude	n. 高度, 海拔, 高处 [电] 高度
amateur	n. 业余爱好者, 外行, 爱好者 [电] 业余家
amaze	vt. 使吃惊
amazing	a. 令人惊异的
ambassador	n. 大使 [法] 大使, 使节, 代理
ambiguity	n. 不明确, 含糊 [计] 二义性; 多义性
ambiguous	a. 不明确的, 模棱两可的 [法] 意思含糊的, 模棱两可的, 暧昧的
ambition	n. 野心, 志向
ambitious	a. 有野心的, 抱负不凡的, 雄心勃勃的
ambulance	n. 救护车 [医] 救护车
amend	vt. 修改, 改善, 改良 vi. 改过自新
amends	n. 赔偿 [经] 赔偿
America	n. 美洲, 美国
American	n. 美国人 a. 美国的, 美洲的
amid	prep. 在其间, 在其中 [经] 在...中
amidst	prep. 在...当中
ammunition	n. 军火, 弹药 [机] 弹药
amount	n. 总数, 总额 vi. 总计, 等同
amphibian	a. 两栖类的, 水陆两用的 n. 两栖动物, 水旱两生植物, 水陆两用飞机
ample	a. 大量的, 充足的, 丰富的
amplify	vt. 增强, 放大, 扩大, 详述 vi. 引伸
amuse	vt. 消遣, 娱乐, 使发笑
analogy	n. 相似, 类似 [计] 模拟
analysis	n. 分析 [计] 分析机; 分析员; 分析; 分析程序
analytical	a. 分析的, 善于分析的, 解析的 [机] 分析的
ancestor	n. 祖先, 祖宗
anchor	n. 锚 vt. 抛锚停泊, 使固定 [计] 锚
ancient	a. 古代的, 古老的, 年老的, 旧的
anecdote	n. 轶事, 奇闻
anger	n. 忿怒 vt. 激怒, 使发怒 vi. 发怒
angry	a. 生气的, 愤怒的
animal	n. 动物 [医] 动物
animals	n. 动物, 动物世界；牲畜（animal的复数形式）
ankle	n. 踝 [医] 踝, 踝关节
annihilate	vt. 消灭, 废止
anniversary	n. 周年纪念
announcement	n. 公告, 发表, 告知 [经] 通告, 布告, 公告
annoy	vt. 使恼怒, 骚扰
annual	n. 年刊, 年报 a. 每年的, 一年一次的, 全年的, 一年生的
annuity	n. 年金, 年金保险, 年金领受权 [医] 年金, 年俸
anonymous	a. 姓氏不详的, 无名的, 无特色的 [计] 无记录
antagonism	n. 对立, 敌对, 敌意 [化] 拮抗作用; 消效作用
antarctic	a. 南极的, 南极地带的 n. 南极地区
antecedent	n. 前情, 先行词 a. 先前的, 先行的
anthem	n. 圣歌, 赞美诗
anthology	n. 选集, 诗选
anthropology	n. 人类学 [医] 人类学
antibiotic	n. 抗生素 a. 抗生的
antibiotics	n. 抗生学；抗生素
anticipate	vt. 预期, 占先, 加速, 提前使用 [医] 提前出现, 先期发生
anticipation	n. 预期, 预料 [医] 提前出现(如遗传病)
antique	n. 古董, 古物 a. 古老的, 古风的, 旧式的, 过时的
antonym	n. 反义词
anxiety	n. 焦虑, 忧虑, 令人焦虑的事 [医] 焦虑
anyhow	adv. 无论如何, 至少
apartment	n. 房间, 公寓
ape	n. 无尾猿 [计] 应用程序评价
apes	n. 猿( ape的名词复数 ) v. 模仿( ape的第三人称单数 )
apologetic	a. 道歉的, 急于认错的, 辩护的 [法] 辩护的, 辩解的, 道歉的
apostrophe	n. 撇号, 呼语法
apparatus	n. 装置, 器具, 器官 [化] 仪器; 器械
apparent	a. 清晰可见的, 显然的, 表面上的 [电] 外在的
appeal	n. 恳求, 诉请, 上诉, 吸引力 vi. 呼吁, 诉请, 要求, 上诉, 有吸引力 vt. 将...上诉
appearance	n. 出现, 露面, 外观, 外表, 出版 [计] 外观, 版面
appendix	n. 附录, 附加物, 阑尾 [化] 增补
appetite	n. 食欲, 欲望, 爱好 [医] 食欲
applaud	v. 拍手喝彩, 称赞, 赞同
appliance	n. 器械, 用具, 应用 [医] 矫正器; 器
applicant	n. 申请者 [经] 申请人, 请求人, 谋事人
application	n. 应用, 申请, 志愿书, 应用程序 [计] 应用, 应用程序
applied	a. 应用的 [机] 应用的; 应用, 申请
apply	vt. 涂, 应用 vi. 申请, 适用
appointment	n. 约会, 委任的职位, 委派 [经] 任命, 派, 指定
appraisal	n. 评价, 估价 [经] 评价, 评估
appreciable	a. 可感知的, 可评估的
appreciate	vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏 vi. 增值, 涨价
apprehension	n. 理解, 忧惧, 逮捕 [医] 领会
apprentice	n. 学徒, 生手 vt. 使做学徒
approach	n. 接近, 入门 vt. 接近, 近似, 找...商量 vi. 靠近
approaches	处理
appropriate	a. 适当的 [经] 适当的, 拨出, 占用
approval	n. 赞成, 批准 [化] 核准
approximate	a. 大约的, 接近的, 近似的 vt. 接近, 使接近, 粗略估计 vi. 接近于
April	n. 四月
apt	a. 有...倾向的, 易于的, 恰当的, 聪明的 [计] 自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具
aptitude	n. 资质, 才能, 自然倾向 [医] 资质, 才能
aquarium	n. 水族馆, 养鱼池, 水草缸 [医] 培养缸
aquatic	n. 水生动物, 水生植物 a. 水生的, 水中的, 水上的
arbitrary	a. 任意的, 武断的, 专治的, 霸道的
arc	n. 弧, 弧形, 弓形, 弧光 [化] 弧
arch	n. 拱门, 拱形, 足弓 vt. 使成弓形 vi. 拱起, 成弓形 a. 主要的, 调皮的, 傲慢无礼的, 狡猾的
archaeological	a. 考古学的, 考古学上的
archaic	a. 古体的, 过时的, 古老的, 古代的 [医] 原始的, 古代的
architect	n. 建筑师, 设计者, 缔造者
architecture	n. 建筑学, 建筑式样 [计] 体系结构
archives	n. 档案, 档案室 [法] 公文档案, 案卷, 档案保管处
arctic	a. 北极的, 极寒的 n. 北极圈, 北极
ardent	a. 热心的, 激动的, 燃烧般的 [医] 灼热的; 热心的
arduous	a. 费力的, 努力的, 险峻的
area	n. 区域, 面积, 范围, 空地 [计] 区域
areas	n. 区域, 领域；面积（area的复数形式）
arena	n. 角斗场, 舞台, 场地 [医] 尿沉渣, 尿沙; 脑沙
argue	vi. 提出理由, 争论, 辩论 vt. 主张, 辩论, 证明, 说服
argument	n. 争论, 论证, 论据, 自变量 [计] 参数
arise	vi. 站立, 出现, 起来
armour	n. 甲胄, 装甲, 潜水服
army	n. 军队, 陆军
arouse	vt. 唤醒, 鼓励, 引起 vi. 醒来
array	n. 排列, 衣服, 大批, 军队 vt. 布署, 打扮, 排列 [计] 数组; 阵列
arrival	n. 到达, 抵达, 到达者 [经] 到达, 到达物
arrogant	a. 自大的, 傲慢的
art	n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术 [计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间
artery	n. 动脉, 干道, 要道 [医] 动脉
article	n. 文章, 冠词, 物品, 物件, 条款, 契约 [计] 信件
articles	n. 文章；冠词；物品；条款（article的复数）
articulate	a. 发音清晰的, 口才好的 vt. 明白地说, 以关节连接, 使成为系统的整体
artificial	a. 人造的, 假的, 非原地产的 [医] 人工的, 人造的, 伟牟
artillery	n. 火炮, 炮兵, 炮术 [机] 火炮, 炮兵
artistic	a. 艺术的, 艺术家的, 富有艺术性的
as	adv. 同样地, 例如 prep. 做为, 当作 conj. 当...之时, 以...的方式, 像...一样, 因为 [计] 高级系统, 先进系统, 辅助存储器, 自治系统
ascend	vi. 上升, 追溯, 登高 vt. 攀登
ascent	n. 上升, 提高, 攀登, 上坡路
ascertain	vt. 确定, 查明 [法] 查明, 弄清, 确定
ascribe	vt. 归因于, 归咎于 [法] 归咎于
ashamed	a. 惭愧的, 羞耻的
Asia	n. 亚洲
aspiration	n. 热望, 志向, 渴望 [医] 吸入; 吸[引], 吸引术
aspire	vi. 渴望, 立志于
aspirin	n. 阿斯匹林 [化] 乙酰水杨酸; 阿司匹灵; 邻乙酸基苯甲酸
assassination	n. 暗杀 [法] 暗杀, 行刺
assault	n. 攻击, 袭击 vt. 袭击, 攻击 vi. 发动攻击
assemble	vt. 集合, 收集, 装配 vi. 集合 [计] 汇编
assert	vt. 主张, 坚称, 断言 [法] 宣称, 断言, 维护
assess	vt. 估定, 对...征税, 评定 [经] 估计, 估价, 确定(税款罚款等)的金额
assessment	n. 评估, 估定, 评定的款额 [化] 评估
asset	n. 资产, 有益的东西
assign	vt. 分配, 指派, 赋值 [计] 赋值
assignment	n. 分配, 功课, 任务, 转让, 归因, 陈述 [计] 赋值
assignments	n. 分配；作业（assignment的复数形式）
assimilate	vt. 使同化, 吸收, 使相拟, 把...比作 vi. 被吸收, 被同化
assistance	n. 协助, 援助 [经] 援助, 帮助
assistant	n. 助手, 助理, 助教 a. 有帮助的, 辅助的, 助理的
associate	n. 同伴, 伙伴, 关联的事物 vt. 使联合, 使发生联系 vi. 交往 [计] 关联
association	n. 协会 [计] 关联
assorted	a. 各种各样的, 分类的
assume	vt. 假定, 承担, 呈现 vi. 装腔作势, 僭越
assumption	n. 假定, 自负, 担任, 假装 [经] 假定, 承担
assurance	n. 保证, 把握, 信心, 保险 [经] 保证, 担保, 保险
assure	vt. 保证, 使确信, 弄清楚, 担保 [法] 确信, 保证, 保障
astound	vt. 使惊骇, 使大惊
astronomy	n. 天文学
asylum	n. 庇护, 收容所 [医] 养育院
Athens	n. 雅典(希腊首都)
athlete	n. 运动员, 运动选手 [医] 运动员
atlas	n. 地图集, 图表集 [计] 自动测试和负载分析系统
atmospheric	a. 大气的 [医] 大气的; 大气压的
attach	vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚 vi. 附属, 归属, 联系在一起 [计] 挂接服务器命令, 关联, 挂接, 附加
attack	n. 攻击, 抨击 vt. 攻击, 抨击, 动手干 vi. 攻击
attacks	n. 攻击, 评击（attack的复数形式）
attain	vt. 达到, 获得 vi. 达到
attempt	n. 尝试, 企图 vt. 尝试, 企图
attempts	n. 企图, 试图；尝试（attempt的复数） v. 试图；努力去做（attempt的三单形式）
attend	vt. 参加, 照料, 伴随 vi. 专心于, 照顾, 服侍, 出席
attendance	n. 出席, 出席的人数, 照料 [法] 管理, 照料, 资助
attendant	n. 随从, 侍者, 出席者 a. 侍候的, 伴随的, 出席的, 在场的
attention	n. 注意, 注意力 [计] 引起注意信号
attentive	a. 注意的, 留心的
attorney	n. 代理人, 律师 [经] 律师, 代理人
attractive	a. 吸引人的, 有魅力的 [法] 有吸引力的, 有迷惑力的
attribute	n. 属性, 标志, 定语 vt. 把...归于, 认为...属于 [计] 属性
auction	n. 拍卖 vt. 拍卖
audible	a. 听得见的 [电] 可闻的
audience	n. 听众, 观众, 读者 [法] 听讼, 观众, 听众
audio	a. 音频的, 声音的 [电] 声频
audit	n. 审计, 查帐 vt. 查(帐), 旁听 vi. 查账 [计] 查帐; 审查; 检查
audition	n. 听, 听力, 试听 [计] 审计命令
auditorium	n. 听众席, 礼堂 [医] 大讲堂, 大会堂
augment	v. 增加, 增长 [计] 增加; 增量; 添加
august	n. 八月 a. 威严的, 令人敬畏的
Australia	n. 澳洲, 澳大利亚
Australian	n. 澳大利亚人 a. 澳大利亚的, 澳洲的, 澳洲人的
authentic	a. 可靠的, 可信的, 真正的 [法] 被认证的, 确认的, 可信的
author	n. 作家, 作家的著作, 创始人 [法] 作者, 著作人, 本人
authoritative	a. 权威性的, 官方的, 命令式的 [法] 官方的, 当局的, 权威的
authority	n. 权力, 当权者, 当局, 权威, 专家 [经] 代理权, 授权, 权威
authorize	vt. 授权, 批准, 委托 [经] 授权, 委任, 认可
automatic	n. 自动手枪, 自动机械 a. 自动的, 机械的, 必然的, 无意识的
automation	n. 自动化, 自动操作 [计] 自动学; 自动化
automobile	n. 汽车 [机] 汽车
autonomy	n. 自治, 自治权 [医] 自主性
auxiliary	n. 辅助者, 辅助物, 附属机构, 助动词 a. 辅助的, 备用的
avail	vi. 有用, 有利 vt. 有利于 n. 效用, 利益
available	a. 可利用的, 可获得的, 有效的 [医] 有效的, 可得的
avalanche	n. 雪崩, 山崩, 大量 vi. 崩塌 vt. 大量涌至
avenue	n. 大街, 途径, 林荫路
average	n. 平均, 平均数, 一般水平, 海损 a. 平均的, 中等的, 平常的 vt. 算出...平均数, 平均做, 均分, 使平衡 vi. 平均为, 呈中间色
avert	vt. 转开, 避免, 防止
aviation	n. 航空, 航空学, 飞行术 [法] 航空, 飞行, 飞行术
avoid	vt. 避免, 防止, 撤消 [法] 避免, 回避, 躲开
award	n. 奖品, 裁定, 判决 vt. 授予, 给予
aware	a. 知道的, 有觉悟的
awareness	n. 意识, 认识 [计] 识别, 议定, 明白
awful	a. 可怕的, 庄严的, 虔敬的
awkward	a. 笨拙的, 棘手的
axis	n. 轴 [计] 坐标轴
back	a. 后面的 vt. 使后退, 支持 vi. 倒退, 背靠 adv. 向后地 n. 背部, 后面
background	n. 背景, 背景资料 [计] 背景, 后台
backward	adv. 向后地, 相反地 a. 向后的, 相反的 [计] 倒推
bacon	n. 熏猪肉 [机] 腌肉
bacteria	pl. 细菌 [医] 细菌, [无芽胞]杆菌
bacterium	n. 细菌 [医] [无芽胞]杆菌属
badge	n. 徽章, 标记 [计] 标记
badminton	n. 羽毛球运动
baffle	vt. 困惑, 为难, 使挫折 vi. 徒作挣扎 n. 迷惑, 挡板
baggage	n. 行李 [经] 行李
bait	n. 饵 vt. 以饵引诱, 欺负 vi. 中途休息
bake	vt. 烘焙, 烤 vi. 烤面包 n. 烘焙, 烤
balance	n. 平衡, 差额 vi. 平衡, 相等 vt. 称, 权衡, 比较, 使平衡, 结算, 抵消
balcony	n. 阳台, 戏院楼厅
bald	a. 秃头的, 光秃的, 单调的, 赤裸的 vi. 变秃
baldness	n. 光秃, 率直, 枯燥 [医] 秃[发], 脱发
ballet	n. 芭蕾舞
balloon	n. 气球 vt. 使成气球状 vi. 膨胀如气球, 激增
ballot	n. 投票, 投票用纸, 抽签 vi. 投票, 抽签 vt. 投票选出, 拉选票
ballroom	n. 舞厅, 跳舞场
bamboo	n. 竹子 [医] 竹类
ban	n. 禁令 vt. 禁止, 取缔
band	n. 带子, 队, 乐队 v. 联合, 结合 [计] 频带; 波段; 区
bandage	n. 绷带 [化] 帘布筒; 实心轮胎; 紧带; 绷带
bands	n. 法官；乐队
bang	n. 重击, 突然巨响, 刘海 v. 发巨响, 重击 adv. 砰然地, 突然巨响地, 直接地 [计] 撞击符
banish	vt. 驱逐, 消除 [法] 驱逐, 流放
bank	n. 银行, 堤, 岸 [医] 库
banking	n. 银行业务 [经] 银行业, 银行事务
bankrupt	n. 破产者 a. 破产的 vt. 使破产
banner	n. 旗帜 a. 显著的, 特别好的
banquet	n. 宴会
bar	n. 条, 棒, 酒吧, 栅, 障碍物 vt. 禁止, 阻挡, 妨碍 [计] 棒形图
barbecue	n. 烤肉 vt. 烤肉, 烧烤
barber	n. 理发师
bare	a. 赤裸的, 缺少的, 无遮蔽的, 坦率的 vt. 使赤裸, 露出
barely	adv. 几乎不
bargain	n. 交易, 买卖协定, 特价商品 v. 讲价, 交易
bark	n. 树皮, 吠声 vi. 吠, 叫骂 vt. 喊出, 剥树皮
barn	n. 谷仓 [化] 靶(恩)(核反应截面单位)
barometer	n. 气压计 [化] 气压计
barrel	n. 桶 vt. 装入桶内
barren	a. 不育的, 贫瘠的 n. 荒地
barricade	n. 路障, 障碍 vt. 设路障于, 阻碍
barrier	n. 障碍, 栅栏 [化] 势垒; 阻片; 阻挡层
barter	n. 物物交换, 实物交易 v. 物物交换, 交换
baseball	n. 棒球 [计] 棒球系统
basement	n. 地下室, 墙脚 [化] 地下室
basic	n. 基本原理, 要素, 基本规律 a. 基本的, 碱性的 (计算机)BASIC语言
basis	n. 基础, 主要成分 [化] 基底
batch	n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批 v. 成批, 分批处理 [计] 一批
bath	n. 沐浴, 浴室 [医] 浴
bathe	vt. 沐浴, 用水洗 vi. 洗澡
bathroom	n. 浴室, 厕所
batter	v. 连续猛打（尤其指妇女），猛击 n. 面糊（食物），击球员，打击手
battery	n. 电池, 殴打 [化] 蓄电池
bay	n. 海湾, 狗吠声, 月桂 vt. 吠, 使走投无路 vi. 吠
beach	n. 海滩
bead	n. 珠子, 滴 vt. 用珠装饰 vi. 形成珠 [计] 珠
beam	n. 横梁, 杆, 光线, 容光焕发 vi. 用梁支承, 微笑, 射出光线 vt. 照耀, 感到欣喜 [计] 束
bear	n. 熊 vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价 vi. 忍受, 结果实, 压挤, 行进, 转向
beard	n. 胡须 vt. 抓住胡须, 公开反对
bearing	n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育 [化] 轴承
beat	n. 心跳(声), 打, 敲打声, 拍子 v. 打, 拍打, 打败 a. 疲乏的, 颓废的 beat的过去式 [计] 拍; 节拍
beats	n. 音乐节拍；差拍振动；心脏跳动（beat的复数）
beautiful	a. 美丽的
beauty	n. 美, 美人
become	vi. 变成, 变得 vt. 适合
bedroom	n. 卧室
beds	n. 床上用品, 床组（bed复数）
bedsit	n. 卧室兼起居室 vt. 租用卧室兼起居室
beforehand	adv. 预先
beginners	n. 初学者；生手；首创者（beginner的复数）
beginning	n. 开始
behalf	n. 利益, 方面
behave	vi. 举止端正, 行为规矩 vt. 检点(自己的)行为, 使表现好
behavior	n. 行为, 举止 [医] 行为
belly	n. 腹部, 食欲 vt. 使鼓起 vi. 鼓起, 匍匐前进
beloved	a. 心爱的 n. 心爱的人
belts	n. 带子；皮带（belt的复数）
bend	vi. 变弯曲, 屈服 vt. 使弯曲, 使屈服 n. 弯曲
beneficial	a. 有益的, 受益的 [经] 有使用权的, 可享利益的
benefit	n. 利益 vt. 有益于 vi. 受益
benefits	n. 利益, 收益；福利, 效益（benefit的复数形式）
bent	a. 弯曲的, 决心的 n. 爱好 bend的过去式和过去分词
Berlin	n. 柏林, (软质)柏林毛线
berth	n. 船岸之间的水区, 锚地, 卧铺 vi. 停泊 vt. 使停泊
beset	vt. 围绕, 使苦恼, 镶嵌
best	a. 最好的 adv. 最好地 n. 最好的人
bet	n. 打赌, 赌注 v. 打赌
betray	vt. 出卖, 背叛, 辜负, 暴露 [法] 出卖, 背叛, 泄漏
better	a. 较好的 adv. 比较好
beverage	n. 饮料 [化] 饮料(如牛奶、茶、咖啡、啤酒等)
bewilder	vt. 使迷惑, 使不知所措
bias	n. 偏见, 斜纹 a. 偏斜的 adv. 偏斜 vt. 使有偏见 [计] 偏流; 偏压; 偏磁; 偏离
bible	n. 圣经
bibliography	n. 参考书目 [计] 书目; 文献目录
bicycle	n. 自行车
